grid,x,y,Y1V1,Y1V2,Y1V3,Y1V4,Y2V1,Y2V2,Y2V3,Y2V4,Y3V1,Y3V2,Y3V3,Y3V4,Y4V1,Y4V2,Y4V3,Y4V4,Y5V1,Y5V2,Y5V3,Y5V4,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6,effort_7,effort_8,effort_9,effort_10,effort_11,effort_12,effort_13,effort_14 ,effort_15,effort_16,effort_17,effort_18,effort_19,effort_20,slope,jar_sungai,jar_mukim,jar_jalan,jar_hut,elevation,ancaman_19,ancaman_20,ancaman_21,ancaman_22,ancaman_23,ch_2019,ch_2020,ch_2021,ch_2022,ch_23
K41,593413,69661,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-1.100193874,0.536841589,0.536841589,0.536841589,0,0,-0.705503432,0.513606499,-0.410689887,0.297705333,0,0,0.456654569,0.886877162,0.886877162,-1.264235803,0.892631842,-0.696425313,0.020477818,0.769685252,-0.774597,-0.368356,-0.220948,-0.517653,-0.325839,0.135154,0.10803,-0.601144,0.568653,-0.059410701,-1.134458276,-0.495122,-0.40948,-0.545846,-0.031507212,0.069524522
K43,598735,68727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268420795,0.536841589,-0.738985644,0,-0.014110069,0.513606499,0.513606499,0.37814984,-0.977406063,0.581063421,0.581063421,0.156026289,-0.786210699,-1.312038313,-1.790063416,0,-1.218321839,-1.332107647,-0.184300363,0.769685252,0.228004,0.529186,-0.973928,-1.313344,-0.832456,-1.566957,-1.300149,-1.642644,-0.721597,-0.973981998,-1.465536236,0.201762,-0.037493,-0.268241,1.278514789,0.582719728
K45,602921,70326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47056485,0.536841589,0.536841589,0.03313837,-1.247330068,-0.962306682,0.513606499,-0.163676796,0,-1.551295861,0.581063421,0.156026289,0.074234487,0.313247038,0,0,-1.670669056,-1.332107647,-2.334471267,-1.454838598,0.258682,1.15546,-1.173934,-1.087438,-0.691942,-0.279995,-0.82826,-1.642644,-0.721597,-1.339419508,-0.254207469,0.752097,-0.740647,-0.46635,0.591427495,0.00230829
K47,605571,69819,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.100193874,0.536841589,0.536841589,0.28498998,-0.826850023,0,-0.705503432,0.513606499,-0.977406063,0.581063421,-0.552368931,0,-0.021370534,0.313247038,0,0,-1.670669056,-1.332107647,-0.286689454,0.769685252,-1.359495,0.184799,-1.395171,-1.156708,-0.952726,0.434984,-0.82826,-1.642644,-0.721597,-1.79090833,-0.496213456,1.250091,-0.012172,0.361444,1.167927949,0.050651714
L34,579988,66842,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0.016569185,0.536841589,0.536841589,0.536841589,-0.299133455,0.513606499,0.513606499,0.37814984,0,0,-0.410689887,0,0.074234487,0.886877162,0.886877162,-1.264235803,0.188980615,0.786833467,0.737201453,0.769685252,-0.228414,-0.055476,1.691539,1.615532,2.400455,0.425758,1.163206,0.179272,0.873239,1.186994732,1.389392656,-1.490707,-0.056942,-0.908326,-0.016756481,0.556442972
L36,584021,66629,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,-0.235282425,0.536841589,0.536841589,0.536841589,-0.570046773,0.513606499,0.513606499,0.513606499,0,0,-0.410689887,0,0.074234487,0.886877162,0.886877162,-1.168630782,0.088459011,0.786833467,0.737201453,0.769685252,-0.81751,-0.460619,1.008299,0.877006,1.247396,-0.32151,0.978332,0.042538,0.568653,0.154245604,0.304504779,-1.011094,0.311678,-0.229891,-1.040404827,0.877425886
L38,587489,66571,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14249499,0.536841589,0.536841589,0.536841589,0,0,-0.570046773,0.513606499,0.014347245,-0.552368931,0.581063421,-0.410689887,0.743469631,0.886877162,0,0,1.09367505,0.786833467,0.737201453,0.769685252,-0.790417,0.312531,0.437385,0.260397,0.316273,-0.593663,-0.160908,-0.800053,-0.721597,-0.572624986,-0.639379596,-0.603948,0.438921,0.12685,-1.265593498,0.841422375
L40,591791,68108,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,-0.10935662,0.536841589,0.536841589,0.536841589,0,0,-0.705503432,0.513606499,-0.269010843,0.581063421,0.439384377,-0.552368931,0.55225959,0.886877162,0.886877162,-1.359840823,0.993153446,0.786833467,0.737201453,0.769685252,0.362709,-0.202896,-0.136677,-0.396439,-0.465959,-0.879654,-0.82826,-1.293631,-0.721597,-0.475080864,-1.606830801,-0.876045,-0.928935,-1.126248,0.404468529,-0.17756409
M31,573476,66091,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,-0.974268069,0.536841589,0.536841589,0.410915784,0,0,0,0,-0.835727019,0.581063421,-0.127331799,0,0.265444528,0.886877162,0.886877162,-1.359840823,0.390023823,0.786833467,0.737201453,0.769685252,0.93203,-0.524813,1.897576,2.1392,1.154198,-0.026293,1.668201,0.885129,1.63753,2.890259671,3.082135723,-1.325586,0.221905,-0.768184,-0.283404306,1.012874578
M33,578498,65104,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47056485,0.536841589,0.536841589,0.536841589,-0.299133455,0.513606499,0.513606499,0.242693181,-1.551295861,0,-0.269010843,0,-0.88181572,-1.025223251,-1.407643334,0,0.289502219,0.786833467,0.737201453,-0.120124288,-0.206789,-0.837953,1.882403,1.829176,1.873887,0.204346,1.668201,0.885129,1.63753,1.309990239,1.516678572,-1.356127,0.534914,-0.410881,-0.498468215,1.33647065
M35,582064,65331,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.864911449,0,-1.352045483,0,-0.434590114,-0.028220137,0,0,0,0,0,0,0.074234487,-1.216433292,0.886877162,-1.168630782,0.088459011,0.786833467,0.737201453,0.769685252,-0.764958,-0.693133,1.290038,1.186611,1.698114,0.36118,0.978332,0.042538,0.568653,0.354278392,0.591466135,-1.169903,0.698557,-0.109665,-0.418517509,1.416171971
M37,587082,64419,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235282425,0.536841589,0.536841589,0.536841589,-0.705503432,0.513606499,0.513606499,0.513606499,0.156026289,0.581063421,0.581063421,-0.410689887,0.743469631,0.886877162,0.886877162,-1.646655885,1.194196654,0.786833467,0.737201453,0.769685252,0.680425,-0.573161,0.410668,0.238589,0.189266,-0.127774,-0.160908,-0.800053,-0.721597,-1.026439696,-0.847243412,-1.123451,-0.520904,-0.912336,-1.269084795,0.58330043
M39,590285,65199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10935662,0.536841589,0.536841589,0.536841589,-1.247330068,0,-1.368676659,0,0.297705333,0.581063421,0.014347245,0,0.839074652,0.886877162,0.886877162,-1.742260906,-1.670669056,-1.332107647,0.32764509,0.769685252,-0.570034,-0.982772,-0.089062,-0.306741,-0.595659,-1.087229,-0.160908,-0.800053,-0.721597,-1.370101698,-1.462347046,-0.045943,0.800094,0.516616,0.394256485,0.693198243
N30,573134,64256,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,-0.848342264,0.536841589,0.536841589,0.159064175,0,0,0,0,-0.835727019,0.581063421,-0.127331799,0,0.361049549,0.886877162,0.886877162,-1.455445844,0.390023823,0.786833467,0.32764509,0.769685252,-0.7367,0.184799,1.956309,2.481992,0.637551,1.708107,1.668201,1.811153,2.06828,2.748006471,2.977821988,-1.905968,-0.196485,-1.30576,-0.705240293,0.920252643
N32,576627,64159,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,-0.722416459,0.536841589,0.536841589,0.536841589,0,0,0,0,-0.694047975,0.581063421,0.581063421,0.014347245,0.361049549,0.886877162,-1.407643334,0,0.490545427,0.786833467,0.737201453,-0.416727468,-0.193281,-0.982772,2.183403,2.160031,1.274623,-0.326123,0.78287,0.988857,0.873239,1.691663415,1.94667149,-1.959238,-0.205924,-1.269905,-0.919256813,0.936657468
N34,580490,62942,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,-0.344639045,0.536841589,0.536841589,-0.092787435,-0.163676796,-0.028220137,0,0,-0.410689887,0.581063421,-0.269010843,0,0.456654569,0.695667121,0,0,0.691588635,0.786833467,-1.617747633,-1.454838598,0.067897,-0.403495,1.501829,1.431796,1.997945,0.656397,0.10803,0.179272,-0.187158,0.398587352,0.676860682,-1.121275,1.712612,0.740313,-1.335681289,2.497148351
N36,584305,63013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.03313837,0.536841589,0.536841589,-0.596490654,0.37814984,0.513606499,0.513606499,-0.163676796,0.014347245,0.581063421,0.581063421,-0.410689887,-1.646655885,-1.025223251,0,0,-1.670669056,-1.332107647,0.225255999,0.769685252,0.746006,-0.113856,0.851043,0.727308,0.947061,0.873197,0.10803,0.179272,-0.187158,-0.664001442,-0.377258868,-1.135224,-0.246913,-0.816655,-1.482403055,0.674325435
N38,588987,63492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235282425,0.536841589,0.536841589,0.536841589,-0.434590114,0,0.513606499,-0.285023387,0.439384377,0.581063421,0.581063421,0,0.839074652,0.886877162,0.886877162,-1.742260906,1.294718258,0.786833467,0.737201453,0.769685252,-1.408182,-0.982772,0.063314,-0.13091,-0.41354,-0.782786,-0.82826,-0.601144,-0.721597,-1.66675476,-1.497052567,-0.357523,0.39386,0.012035,-0.423754455,0.621771923
O33,579128,61674,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.269010843,0.581063421,0.581063421,-1.551295861,0.456654569,0.886877162,0.886877162,-1.551050865,0.591067031,0.786833467,0.737201453,0.769685252,-0.884235,-0.460619,1.722987,1.681388,1.473723,1.505145,-0.82826,0.55277,-0.721597,0.628716793,0.93990155,-1.334197,0.468444,-0.574113,-1.65530955,1.387136881
O35,582229,61552,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,-0.21871324,0.536841589,0.536841589,-0.344639045,0.107236522,0.513606499,0.513606499,-1.504133318,-0.127331799,0.581063421,0.581063421,-0.269010843,0.55225959,0.886877162,0.886877162,-1.646655885,-1.670669056,-1.332107647,0.225255999,0.769685252,-0.470765,-0.368356,1.191893,1.110124,1.46128,1.108448,-0.82826,0.55277,-0.721597,-0.319386313,0.013208754,-1.035809,0.511845,-0.367928,-1.646843154,1.142371077
O37,585322,61525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.156026289,-0.127331799,0,0,0.743469631,0.886877162,0.886877162,-1.837865927,0.993153446,0.786833467,0.737201453,0.769685252,-1.094653,4.208551,0.661113,0.538602,0.56392,1.219154,-1.300149,-0.102028,-2.011846,-1.18287918,-0.889015852,-0.927058,-0.307377,-0.843652,-1.902755241,0.34158331
P34,581127,59796,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,-0.092787435,0.536841589,0.536841589,-0.344639045,-0.434590114,0,0.107236522,-0.028220137,-0.127331799,0.581063421,0.581063421,-0.269010843,0.55225959,0.886877162,0.886877162,-1.646655885,0.691588635,0.786833467,0.737201453,-1.380687803,-0.034161,-0.658946,1.388362,1.314256,1.74114,1.814201,-0.82826,0.55277,-0.721597,-0.168389079,0.125963357,-0.994628,0.289834,-0.815096,-1.79644524,0.878442114
